project_name,state,Latitude,Longitude,catchment_area_sq_km,catchment_outlet_lat,catchment_outlet_lon,commissioning_year,starting_year,installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,seismic_zone,forest_area_div,dist_road,contract type,contract retendered,tunnel length,elevation,damlength,category,transmission line length cktkm,landowner_displaced,funder,glof_risk,source,catchment_source,n_construction_years,PRCPTOT_mean,PRCPTOT_max,PRCPTOT_p90,PRCPTOT_cv,PRCPTOT_trend,RX1day_mean,RX1day_max,RX1day_p90,RX1day_cv,RX1day_trend,RX5day_mean,RX5day_max,RX5day_p90,RX5day_cv,RX5day_trend,RX7day_mean,RX7day_max,RX7day_p90,RX7day_cv,RX7day_trend,SDII_mean,SDII_max,SDII_p90,SDII_cv,SDII_trend,R10mm_mean,R10mm_max,R10mm_p90,R10mm_cv,R10mm_trend,R20mm_mean,R20mm_max,R20mm_p90,R20mm_cv,R20mm_trend,R25mm_mean,R25mm_max,R25mm_p90,R25mm_cv,R25mm_trend,CDD_mean,CDD_max,CDD_p90,CDD_cv,CDD_trend,CWD_mean,CWD_max,CWD_p90,CWD_cv,CWD_trend,R95p_mean,R95p_max,R95p_p90,R95p_cv,R95p_trend,R99p_mean,R99p_max,R99p_p90,R99p_cv,R99p_trend,R30mm_mean,R30mm_total,R30mm_trend,R100mm_mean,R100mm_total,R100mm_trend
alain duhangan,himachal,32.2215,77.2245,363,32.2215,77.2245,2010,2003,192.0,14.5,1019.447028,2000*,4.0,7.0,V,32.17,0.1,EPC,NO,8533,2700,,large,176.5,0,IFC+ADHP,Medium/High (Elevation > 1500m),"IFC,MOP,ADHL",ADB-46919/IFC project docs (Allain+Duhangan catchments),8,1379.5418510288,1879.0305794477463,1755.0784779548644,0.2241005782977925,-53.82724827528,100.00072765350342,134.04820251464844,129.27268066406248,0.2957677596111835,-8.676445007324215,173.18915045261383,234.21574020385742,233.86688075065612,0.2523463612178852,-12.756963968276978,192.73730632290244,262.73450756073,259.65979266166687,0.3000394310045148,-18.385999456048012,11.512282981906939,15.906132231248874,15.379270359805487,0.2444791068840732,-0.4166076950080835,42.25,56,49.0,0.15097456594287662,-1.3333333333333335,18.375,29,28.3,0.4301880749323096,0.1,13.375,22,20.6,0.46381888574495544,0.16666666666666666,43.75,82,59.599999999999994,0.36153866194590123,-1.4642857142857144,17.25,30,29.3,0.46715250612423764,-1.875,201.64541578292847,469.96893310546875,405.21262321472165,0.7465540320408922,-26.435302098592118,77.97125720977783,247.34442901611328,168.03707046508788,1.109836414325672,-10.78445014953613,9.625,77,0.0,0.625,5,-0.08333333333333333
baira siul,himachal,32.8063,76.1418,2020,32.8063,76.1418,1981,1970,180.0,53,53.75417727,148,4.0,11.5,V,,0.3*,IR,YES,7630,1113,160,large,96,0,CG+NHPC,Low/Unknown,"PIB,https://www.cwejournal.org/vol17no1/ecological-consequences-of-hydropower-development-in-himachal-pradesh-with-special-reference-to-chamera-dam,IMD,NCS,ijrar","NHPC/CWE Journal (Baira+Siul+Bhaledh combined basins, Ravi trib.)",12,1652.9536221126716,2282.3899788856506,2148.6898403048517,0.22586662695390156,-21.494022047519685,94.60265890757243,172.517333984375,129.966902923584,0.34130154384996325,1.234414471520318,221.83378082265457,409.10061264038086,316.9536340713501,0.3776917682747388,-0.5118219032883644,254.990678605934,461.19336795806885,368.2502868652344,0.3711364193255938,-6.229723290963607,13.05140556792535,17.831171710044146,17.177080141813523,0.2204958411857528,-0.5151971675956601,52.666666666666664,78,70.9,0.26061044037864917,-0.18333333333333335,24.75,38,34.7,0.2955876128442908,-1.4166666666666665,18.166666666666668,28,26.9,0.39106681625591033,-1.225,36.833333333333336,91,49.0,0.5293344105610063,-2.155555555555556,21.75,45,31.8,0.44064634223540483,-1.0625,620.3266016642252,975.639575958252,931.7846115112305,0.420060828004895,-40.40690858023507,211.94245020548502,385.51951599121094,377.79430503845214,0.5672901808801032,-5.893870787187057,14.083333333333334,169,-0.9090909090909092,0.4166666666666667,5,0.0
nathpa jhakri,himachal,31.5658,77.9814,49820,31.5658,77.9814,2004,1993,1500.0,62.5,2038.380306,8187,5.0,11.0,IV,117.995,0.2,IR,NO-LD,27400,518.16,185*,mega,224*,480,WB,High (History/Prone),SJVN,SJVN DPR via IHA/hydropower.org (total Sutlej above Nathpa),12,1087.3548070391018,1356.800490617752,1319.2424371242523,0.16374534984705294,-39.37170323530833,51.20109748840332,87.02849578857422,74.09321212768555,0.3251488409398382,-2.001906394958496,122.80571919322635,210.31714630126953,161.22943256665022,0.31030501645133485,-7.350168812548282,143.13950630525747,250.77126550674438,176.97658715844153,0.2839417975686844,-5.536007940769192,6.744812991998909,8.304818066411048,7.9731245819109535,0.12720585248020416,-0.09381146606816185,30.75,46,44.300000000000004,0.29511933823415654,-1.8660714285714286,8.0,13,11.8,0.3423265984407288,-0.2863636363636364,4.333333333333333,8,6.9,0.4452244962611625,-0.15476190476190477,44.5,79,62.0,0.3788700067435363,-0.16666666666666666,45.083333333333336,86,74.6,0.4585705700571478,-2.0,236.03907934824625,416.24110412597656,395.35593090057375,0.4321328630716945,-12.284925542558941,83.90239556630452,198.87804412841797,195.41630325317385,0.8074585271888616,-6.283364534378052,2.8333333333333335,34,-0.11805555555555555,0.0,0,0.0
bhakra,himachal,31.4111,76.4356,56980,31.4111,76.4356,1963,1948,1415.0,225.55,,245.28,,15.0,IV,,0,IR,NO,,344.4,518.16,mega,3751,11000,SG,Low/Unknown,https://bbmb.gov.in/index-hi.htm ; https://cea.nic.in/wp-content/uploads/pdm/2022/03/Bhakra_Left_Bank_HPS_U_3_Upration.pdf,BBMB/CWC (Sutlej above Bhakra — Grokipedia citing BBMB),12,1088.321016083161,1473.725796341896,1205.9438116550446,0.15942787612674972,5.517356956005097,55.22081502278646,133.16578674316406,66.11169166564942,0.4515876091476878,-0.8856316248575846,154.41449304421744,362.2357368469238,159.70212831497193,0.4184298332635753,-4.515919501131231,174.8495319286982,375.51063442230225,189.59757480621337,0.36378954026388166,-4.551005011513119,7.902946544010061,10.094012303711617,9.078235183601237,0.12295193712152182,-0.0410919820986265,35.75,45,44.9,0.20559123413820163,-0.25396825396825395,11.25,18,14.9,0.27186295264448246,-0.303030303030303,5.666666666666667,9,8.9,0.4159451654038514,-0.3333333333333333,55.0,107,86.8,0.4452380426250108,-3.071428571428571,47.083333333333336,90,57.8,0.35247022181126947,0.30952380952380953,287.5406490961711,639.1265182495117,378.0283102035523,0.45321959301068737,-14.411289532979328,107.60221258799235,437.2802085876465,129.52868270874023,0.9833292455531352,-3.70266056060791,3.0,36,0.0,0.16666666666666666,2,0.0
karcham wangtoo,himachal,31.5012,78.0178,48755,31.5012,78.0178,2011,2005,1091.0,98,3784.0,,6.0,6.0,IV,503,0,EPC,NO,17200,1813,177,mega,35.22,6,PSC,High (History/Prone),https://www.researchgate.net/publication/272821005_Environmental_and_social_impact_of_Karcham-Wangtoo_hydropower_project_in_the_Kinnaur_district_of_Himachal_Pradesh_a_retrospective_analysis ; https://www.jswenergy.in/businesses/power-generation/karcham-wangtoo-hydro-plant/ ; https://www.jppowerventures.com/wp-content/uploads/2013/10/VOL-I.pdf ; https://www.mobt3ath.com/uplode/book/book-99499.pdf ;,"JSW Energy COO Sharad Mahendra, public statement reported by The Tribune (Oct 15, 2018) — ""project catchment area is 48,755 sq km (79.5% snow area)""",7,1108.157923068319,1384.5955505371094,1366.675613117218,0.19531825939268546,-15.237501949071884,44.72402272905622,59.979339599609375,56.9353874206543,0.22753345385464388,3.2691726684570312,113.99572604043144,148.99498462677002,141.52562675476074,0.19587544163618845,4.982999801635742,126.81506419181824,156.37275207042694,148.8066951274872,0.15729153556470504,-0.3353817701339722,7.118511297533254,9.092140860205529,8.581840453143316,0.1584887109431597,0.016339457959313908,34.285714285714285,46,42.400000000000006,0.24388351044436493,-0.3333333333333333,9.285714285714286,16,15.4,0.5107136206983948,0.2,6.142857142857143,11,11.0,0.6055449565716994,0.0,35.42857142857143,71,54.20000000000001,0.4520806909088374,-3.0,37.857142857142854,98,61.40000000000002,0.6687661257924746,-1.2,265.51373400006975,481.1490955352783,473.9656185150146,0.5659091463278716,-2.394492340087891,83.27582332066127,227.0337142944336,188.099813079834,0.896595235333128,4.442591667175293,4.428571428571429,31,-0.2,0.0,0,0.0
koldam,himachal,31.3975,76.8614,53000,31.3975,76.8614,2015,2004,800.0,167,6229.680248,,6.8,11.0,V,44.859,18,IR,YES,1830,,474,mega,480,482,NTPC,Low/Unknown,https://archive.pib.gov.in/release02/lyr2002/rjul2002/02072002/r020720024.html ; https://www.researchgate.net/publication/289659782_Monitoring_of_Earth_and_Rock-Fill_Dam_of_Koldam_HEPP_during_First_Step_of_Initial_Impounding ; https://forestsclearance.nic.in/writereaddata/AdditionalInformation/AddInfoSought/2014_5_511221245121318482014FCFACSHEET.pdf,NTPC DPR / aguidetohimachal.com citing NTPC (Sutlej above Koldam),12,1023.3417764604092,1255.061397433281,1194.1737045526504,0.13525873092391905,15.4306376516819,41.718241691589355,60.28264617919922,48.963952255249026,0.19251644230600148,0.2747548818588259,109.28072426716487,142.7985544204712,132.74495944976806,0.18524700559522478,0.017991751432418823,128.27261082703868,162.44094276428223,145.59808759689332,0.14462172232563866,1.2534913215786219,7.431950940075276,8.927454488747047,8.406553389279257,0.10245578356667889,0.12811411160022368,33.916666666666664,41,40.9,0.15294716950846113,0.7207792207792207,9.833333333333334,16,12.9,0.344447481913586,0.5,4.916666666666667,8,7.9,0.44295370662277894,0.35416666666666663,46.0,94,70.2,0.4449003909955604,-2.416666666666667,35.416666666666664,90,59.300000000000004,0.57084409060491,-0.4772727272727273,223.45271158218384,373.37804794311523,345.98217277526857,0.3916246970809375,13.160386435190837,45.26869487762451,142.11626434326172,126.01206703186037,1.0761174430604428,0.17404238382975262,3.0,36,0.14583333333333331,0.0,0,0.0
parbati II,himachal,31.8422,77.3458,834,31.8422,77.3458,2024,2001,800.0,83.7,,13600,,23.0,V,87.795,,IR,,31557,,110,mega,,400,CG ,Low/Unknown,"https://www.nhpcindia.com/assests/pzi_public/gallery/1672224798.pdf ; https://www.greentribunal.gov.in/sites/default/files/news_updates/Counter%20Affidavit%20on%20behalf%20of%20R%207%20MoEF%20CC%20in%20OA%20No%2098%20of%202026%20Chandresh%20Kumar%20Vs%20State%20of%20HP%20and%20Ors.pdf ; 
https://www.nhpcindia.com/assests/pzi_public/gallery/17797927680hi.pdf ; IMD","NHPC — Parbati basin ~1,149 km² total; dam at Pulga catches ~834 km²",24,995.7223166773716,1450.9011554718018,1226.598011112213,0.17710229631802646,10.876597940337424,62.661797205607094,113.09204864501952,98.17998962402343,0.3305644692466131,-0.23239716239597485,117.11989599776764,270.5286695212126,156.79716186523436,0.36035291575095507,-0.03154691060384115,134.0327352937311,280.59016712009907,168.3049375772476,0.3102016409561503,0.18277971744537352,9.603549885094642,13.559823882914035,11.876575851160897,0.15234905122271894,0.03509557157450964,31.916666666666668,47,38.7,0.20141703620786283,0.2403846153846154,13.0,23,17.7,0.28000422651078916,0.14285714285714285,8.791666666666666,18,12.7,0.37000227951245185,0.07738095238095238,48.041666666666664,100,84.19999999999999,0.45383638432550316,-0.22424242424242424,10.166666666666666,17,15.0,0.36546716081324515,0.08012820512820512,240.3581202030182,639.7954730987549,438.16562252044673,0.5943890012668624,1.0221362627469577,61.93066533406576,329.51268005371094,160.06972045898436,1.3126368882459674,0.0,5.625,135,0.06904761904761905,0.08333333333333333,2,0.0
parbati III,himachal,31.8317,77.2581,807,31.8317,77.2581,2014,2005,520.0,43,2659.583909,2711,5.0,8.6,IV/V,91.24,,IR,YES,7875,325,229,mega,3.5*,174,PSU,Low/Unknown,; https://www.nhpcindia.com/welcome/project_detail/34/2.html ; https://www.hppcl.in/WriteReadData/userfiles/file/environment-policy/2009_12_Summary_EIA.pdf ; https://www.nhpcindia.com/assests/pzi_public/gallery/16889644280hi.pdf ; https://uppcl.org/uppcl-pdf/PPA-PARBATI_070919.pdf ;  https://www.nhpcindia.com/assests/pzi_public/gallery/17210259780.pdf ;  https://phedwater.rajasthan.gov.in/content/dam/doitassets/water/Ground%20Water/Pdf/PublicReports/Groundwater_Atlas/Basinwise/Parbati%20River%20Basin.pdf ; https://nsearchives.nseindia.com/corporate/IDBITSL_13062025163535_VR_NHPC_merged.pdf ;https://www.slideshare.net/slideshow/powerful-parbati/22966570#12 ;https://www.researchgate.net/publication/327982647_Local_area_Development_through_Hydropower_Project_a_case_study_of_Parbati_Hydro-electric_Project_Stage-III520MW_in_Kullu_district_of_Himachal_PradeshIndia ; ,NHPC — Parbati basin upstream of Parbati-III diversion,10,1139.8083110451698,1479.5429499149323,1444.1544300556184,0.17927654983045005,24.91406273841858,64.72975654602051,104.62220001220705,94.60885543823241,0.3078337742194271,1.1939396858215332,138.24218041002752,213.46718174219131,186.08486326336856,0.2792244931302734,6.860133647918701,159.52683411240577,232.12292003631592,222.11354084014891,0.26977879088295087,8.88224482536316,10.393158216550054,13.95795235768804,12.969010727412776,0.1695034334531374,0.23674479641103408,36.8,49,47.2,0.18180139873562753,0.8,15.5,24,20.4,0.24010056859262446,0.4,10.1,19,17.2,0.43710376345829927,0.25,47.7,82,79.3,0.38951420903562656,0.16666666666666666,12.3,19,15.399999999999999,0.3128761204047782,0.6666666666666666,280.1241943359375,665.0184211730957,556.3470226287841,0.6654917211680169,15.152021408081055,69.99009780883789,243.32608032226562,203.77117233276365,1.3110326946574498,0.0,7.3,73,0.3333333333333333,0.1,1,0.0
chamera I,himachal,32.5936,75.9961,472,32.5936,75.9961,1994,1984,540.0,140,954.666405,2114,6.0,10.0,V,110*,100,bilateral,NO,6414,1000,785,mega,100,433,GE,Low/Unknown,"National Hydroelectric Power Corpn. Ltd., Faridabad v. Punjab State Electricity Board, Patiala ; https://www.scribd.com/document/802890268/INDOROCK2014RockBehaviourinaLargeCavern-Chamera-I#google_vignette ; https://www.nhpcindia.com/welcome/project_detail/18/2.html",Wikipedia/Wikiwand citing NHPC DPR (Ravi above Chamera I dam),11,1327.2337838086214,2262.0167820453644,1612.8343298435211,0.25354715253587484,6.697979112466176,72.48467809503728,123.2285614013672,107.94876098632812,0.3376371099380146,1.9175586700439453,184.9295835386623,468.13219451904297,293.47064208984375,0.5855161130612888,8.38213817278544,201.8706685121764,474.28093722462654,311.417857170105,0.5291806789636149,8.083207577466965,10.854297592377435,16.755679867002698,11.862829092072278,0.19371049054174438,0.06956705971895676,42.0,62,50.0,0.19422713657293988,0.375,17.454545454545453,33,21.0,0.34579568068120486,-0.2,11.818181818181818,26,15.0,0.4341897166667718,-0.25,40.0,62,58.0,0.31694565063200575,0.5,19.454545454545453,39,31.0,0.5071331516870566,2.0,327.88876377452505,1049.1850929260254,480.1240119934082,0.7920295278984059,0.1533336639404297,109.10639260031961,552.8676910400391,278.79832458496094,1.5330185596477657,7.002235412597656,8.909090909090908,98,-0.14285714285714285,0.36363636363636365,4,0.0
chamera II,himachal,32.5225,76.2414,2596,32.5225,76.2414,2004,2000,300.0,43,1909.595879,2708,4.5,4.08,V,78.8,0,EPC,NO,7830,1162,118.5,large,4,157,CG+NHPC,Low/Unknown,"Central Electricity Regulatory Commission ; https://cea.nic.in/wp-content/uploads/2020/04/rfd_1516.pdf ;  https://cercind.gov.in/2010/ORDER/Sept10/signed_order_in_Pet_No._57-2010.pdf ; https://www.nhpcindia.com/welcome/project_detail/22/index.php.html ; https://forestsclearance.nic.in/writereaddata/Addinfo/0_0_1117121212151JointIns.pdf ; National Hydroelectric Power Corporation Ltd. v. Punjab State Electricity Board
Central Electricity Regulatory Commission
Aug 14, 2003;","CBIP (Central Board of Irrigation & Power, Govt of India) technical paper ""A Case Study of Chamera Stage-II & III"" — official catchment at Chamera-II dam site on Ravi River",5,745.8013841152191,890.8238536119461,861.5297390699386,0.1509028128785341,-1.2827888578176498,34.46871376037598,36.11878967285156,35.9280288696289,0.05483823487337796,-0.08167791366577148,92.34913120269775,113.57461357116699,104.98707695007325,0.11945349122648521,-1.2081196308135986,111.80365419387817,135.13239002227783,125.08713855743409,0.11320416333075,0.7433685064315796,6.885774307265711,8.73356719227398,7.8592975069311874,0.13495495774043,0.1079785903732664,22.0,28,26.8,0.21320071635561044,0.125,6.6,12,9.600000000000001,0.41327823324199564,0.75,3.8,9,6.6000000000000005,0.6942582083301536,0.5,63.2,98,83.60000000000001,0.28575791664479266,2.5833333333333335,17.0,29,25.400000000000002,0.40241485591734283,-2.625,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.2,11,0.375,0.0,0,0.0
chamera III,himachal,32.4411,76.4258,2203,32.4411,76.4258,2012,2005,231.0,64,1520.967,2109,5.0,7.0,V,98.9814,,EPC,YES,15970,,73,large,6.6,384,CG+NHPC,Low/Unknown,https://www.nhpcindia.com/welcome/project_detail/29/index.php.html ; https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/CAT%20Plan%20Chamera%20Stage-III%20HEP_compressed.pdf ; https://www.nhpcindia.com/assests/pzi_public/gallery/17562827940.pdf ;  https://cercind.gov.in/2026/Orders/46-GT-2025.pdf ;  https://cea.nic.in/wp-content/uploads/hpm/2021/11/QPR_106_9th_NOV_.pdf ; https://www.nhpcindia.com/assests/pzi_public/gallery/16908878370.pdf;,"CBIP (Central Board of Irrigation & Power, Govt of India) technical paper ""A Case Study of Chamera Stage-II & III"" — official catchment at Chamera-III dam site, 24km upstream of Chamera-II",8,1799.5665039271116,2597.1222709417343,2560.9414016246797,0.3242068450879042,-163.96722213427228,96.17466878890991,159.6650848388672,133.2907775878906,0.3353153627366312,-5.508813721793039,196.97775791212916,318.7422409057617,280.11695766448975,0.35814202871899126,-16.152779564261436,232.92236363259144,384.8564214706421,326.4821888923645,0.38053387189265575,-17.67439811695367,14.980122413805018,20.694596055077344,20.08613140934163,0.27818531392678547,-1.7123022476699612,51.875,72,71.3,0.29824083828240766,-4.904761904761905,29.375,42,41.3,0.38323868245781956,-2.75,22.375,35,32.2,0.4485654338803536,-3.0,44.375,80,68.8,0.44588088091805445,-5.267857142857142,16.125,30,28.6,0.5164792311663542,-1.0,448.08005237579346,966.0466728210449,951.4760108947754,0.7639114136302823,-90.19350083669028,133.04278755187988,450.92101287841797,352.2941467285156,1.2157125391460928,-24.9605954851423,17.875,143,-1.8333333333333335,0.375,3,0.0
bajoli holi,himachal,32.4272,76.6025,199,32.4272,76.6025,2022,2013,180.0,0,1891.270656,2110,5.0,9.0,V,75.23,7,BOOT,NO,15580,1707,,large,35,300,GMR,Medium/High (Elevation > 1500m),https://herc.gov.in/WriteReadData/Orders/O20210429a.pdf ; https://forestsclearance.nic.in/writereaddata/AdditionalInformation/AddInfoSought/0_0_211261224121318-43-2011-FC.pdf ;  https://hpforest.gov.in/storage/files/1/pdf/CAMPA/CAT%20Plan/Bajoli-Holi.pdf ; https://www.scribd.com/document/128816802/Bajoli-Holi#google_vignette ; https://cea.adgstaging.in/wp-content/uploads/2020/04/private-hydro.pdf,GMR/FC docs forestsclearance.nic.in (Holi Khad catchment),10,3139.6657111763952,3802.7968517541885,3626.374225604534,0.13145297525251023,-81.6901044845581,201.45967864990234,325.1290283203125,289.87038574218747,0.3222943910867747,8.59219360351563,426.4114141277969,637.5405120849609,526.2727572150528,0.2570883591012355,2.8284832648932934,537.0863945178687,850.2108076810837,692.3308936953543,0.2758270473614971,-9.485894845426083,28.055318643344254,35.299648109902726,32.00447832352637,0.15289562308004642,-0.07634072040348006,68.9,81,75.6,0.08449218913107626,-1.8333333333333333,48.0,60,56.4,0.1391317321422,-0.7142857142857143,40.3,55,47.8,0.17998201296068078,-1.1428571428571428,44.8,82,75.7,0.460146383097326,1.0,14.1,29,23.599999999999998,0.4677088537247531,-0.4,974.9355392456055,1595.2790069580078,1457.4561866760253,0.4253889110043109,-34.8050297328404,477.407048034668,1069.4090270996094,891.7869354248046,0.7737071382888013,-9.879784720284599,35.5,355,-1.8,5.1,51,-0.2857142857142857
rampur,himachal,31.4725,77.6744,49260,31.4725,77.6744,2014,2007,412.0,0,2135.169172,4340,6.0,7.0,IV,49,0,SPLIT,NO,15170,1030,0,large,,167,WB,Low/Unknown,https://openknowledge.worldbank.org/server/api/core/bitstreams/c6d00fd4-fb2f-53e7-aff5-8c828adf0d74/content ;  https://www.worldbank.org/en/news/feature/2007/09/13/rampur-hydropower-project ; https://www.sjvn.nic.in/en/rampur-hps ; https://www.cercind.gov.in/2017/orders/184.pdf;,"World Bank / SJVN DPR (Sutlej above Rampur, downstream of Nathpa)",8,1122.0078720897436,1381.5318938493729,1308.6646136045456,0.1530103526917857,6.2604865580797195,47.05104351043701,73.50563049316406,65.73163146972657,0.2889334963880072,-0.19277109418596539,123.27602556347847,205.50587272644043,161.95820412635803,0.29264549756304503,-1.0954401791095734,142.8373831808567,226.98208236694336,172.82358070611951,0.2367245759752302,1.098846189181011,7.670361849851225,9.398176148635189,9.07263498060268,0.13134883488582355,0.1613640208314755,36.375,47,44.2,0.2254201238493914,0.75,11.25,15,14.3,0.24645636680909816,0.3666666666666667,6.625,9,9.0,0.3614574351069437,0.0,40.375,71,52.8,0.34183548473577685,2.2,40.75,100,68.5,0.6299332012258916,-0.8,297.42860865592957,462.25586700439453,430.9791845321655,0.32981201290208084,15.622305234273274,75.863600730896,251.7533721923828,163.9847732543945,1.0222321690159113,7.327735900878906,4.0,32,0.08333333333333333,0.0,0,0.0
