project_name,catchment_radius_km,slope_mean_deg,slope_max_deg,slope_std_deg,steep_frac_25,elev_mean_m,elev_min_m,elev_max_m,elev_range_m,aspect_circ_std
alain duhangan,10.749255261864239,28.940205653614104,77.13665771484375,12.278704514000385,0.6284719100110033,3197.8164289870665,1533,5068,3535,1.7983442767921385
baira siul,25.357168021907675,31.823739131807987,81.01942443847656,11.121148220855577,0.7370866863016071,2589.992471732847,721,5282,4561,2.249270908075872
nathpa jhakri,125.92933943158938,28.06422103555635,87.77668762207031,12.426279613165224,0.5995310200397176,3459.7299829734416,395,6751,6356,2.9045316588520316
bhakra,134.67478351477826,13.807697516256098,88.0808334350586,14.594009081259859,0.24313383620117654,1132.5619870048963,159,6206,6047,2.6233061498167123
karcham wangtoo,124.5760751544642,28.097081371659712,87.77668762207031,12.457517443272913,0.601928052486518,3404.373938336874,376,6884,6508,2.8861832340202955
koldam,129.88619621707653,17.815384747272077,88.0808334350586,15.39729277042323,0.3385983590746437,1619.4904423090757,203,6570,6367,2.646128062455653
parbati II,16.293263794503588,33.23531970541621,77.41024017333984,12.251157689972684,0.7499552574557038,2783.601990060658,976,5144,4168,2.4636871392846786
parbati III,16.02735405955453,32.256837923433956,77.356689453125,12.668133577500328,0.7228094579238855,2197.1593157241664,917,4614,3697,2.768157279548308
chamera I,12.257335203001883,27.68087071031146,80.55050659179688,11.219013249154406,0.6208794182106605,1369.1161812806733,502,2757,2255,3.2661874733630705
chamera II,28.745999104799274,32.15249617941686,80.55050659179688,11.557921024896062,0.7411371203836868,2351.2595016708265,615,5580,4965,2.4924717849968667
chamera III,26.480873838732943,34.645289691638055,88.0808334350586,11.646838392741161,0.800361725633559,3032.7688842531147,923,5765,4842,2.6611972876265746
bajoli holi,8.0,36.18343175857759,88.0808334350586,12.150040197730739,0.8284975338873444,3287.155485822305,1605,5515,3910,1.9209614787318847
rampur,125.21958709967673,26.126190223413307,87.77668762207031,13.599354050963656,0.5472629123892735,2859.5043399149026,254,6751,6497,2.664723184095938
malana I,8.0,33.59732324999324,77.90512084960938,12.30530089065496,0.7556959269324387,2962.616591903161,1358,4487,3129,2.275382305157268
malana II,8.0,31.881852463393354,77.90512084960938,11.860448102730926,0.7157334107138419,3425.94622360559,1673,4927,3254,1.9914703829828708
sainj,9.981532666656284,33.79362312547741,76.83077239990234,11.52107081077718,0.7779454910132539,2136.9391040257965,967,3650,2683,2.58042987318416
uhl III,10.37249929043725,22.973305056743868,74.89693450927734,11.039206572629086,0.4363004083266328,1389.34934532354,619,2804,2185,1.910127894552472
tidong-1,9.981532666656284,32.66105036774106,86.90313720703125,13.702468659789389,0.708865589009696,3920.183682594847,1862,6397,4535,1.9132508015754275
pong,63.23203681959482,8.522298714375033,78.34149169921875,10.285430528990442,0.08530617445260925,625.9200297911241,213,4910,4697,2.429571877509342
dehar,63.23203681959482,19.32961710517661,79.73873138427734,13.074801362959729,0.34300753834231396,1173.06119329338,243,3785,3542,2.5552238787283823
sawra kuddu,16.46815177937675,27.432084008517162,77.95641326904297,10.024818584533346,0.5845386222599342,2312.4496727679216,1099,3798,2699,2.490336354811748
kashang I,8.387281135541944,30.859573418880508,79.2162094116211,11.320829123481047,0.6950836308309231,3482.8144103810932,1868,5225,3357,1.7542280262731997
kutehr,21.631355313298616,35.41019902752863,88.0808334350586,12.131398281958592,0.8103472556211517,3393.7691404994926,1191,6015,4824,3.1020316436314896
baspa,17.38949084575512,32.19800416447814,86.90313720703125,12.765216107355254,0.7194052829713947,3848.591914814402,1637,6397,4760,2.6592888961299685
Ranjit Sagar Dam (Thein),52.62410103554244,15.483542163475295,80.55050659179688,13.790256236804128,0.2663649458731882,1031.8533814775474,224,4331,4107,2.262919417717663
ghanvi,8.0,31.887652554737304,79.35100555419922,11.959936494321191,0.6947709721975482,2126.978649736026,999,3601,2602,2.135248697695844
larji,41.83381113690792,29.032177569854753,79.08073425292969,12.175400409355756,0.6311772398187694,2308.211990662027,620,5617,4997,2.610906728359431
tehri,48.181261917247305,25.54606253256756,79.50672149658203,12.014707907547475,0.5530854247339406,1514.7997164164367,299,4602,4303,2.4579468296002003
koteshwar,49.478493657745226,27.084851925828737,79.50672149658203,10.614958703652285,0.5887010334016051,1580.5483054415574,309,4707,4398,2.769858028732124
dhauli ganga,26.202946866687277,34.51716323593979,88.90884399414062,12.314742488601151,0.7811835701961827,3056.2016240579933,681,6266,5585,2.634776968138016
tanakpur,63.81081463249823,14.28785575375674,78.22493743896484,13.537461312307428,0.2565466288765872,775.7110295640031,139,2685,2546,3.0512845855626
maneri bhali ,38.65007497871808,29.014928340580024,84.60252380371094,10.964175891953095,0.641480836885168,2453.966451697561,612,6325,5713,2.5008817511383663
ramganga,31.584540257853998,9.887614519910047,73.3880386352539,10.706490935041453,0.12298887758014784,476.8709737123049,208,2099,1891,2.539505935370449
tiloth,90.83277079272577,27.198224879657268,86.90313720703125,13.245371820608716,0.5854214226392027,2637.8569417651906,281,7077,6796,2.7138370160372656
vyasi,88.81283116551533,19.162047798554706,84.60252380371094,14.635403762060175,0.38982469928236796,1332.294134618223,231,6325,6094,2.6530612737299957
madhyamaheshwar,8.0,34.20508148078348,78.44010162353516,10.907719733620677,0.8116063074976404,2954.8373825759186,1317,4771,3454,1.8061946511630813
singoli bhatwari,20.529059630371258,28.59840602954344,78.50593566894531,11.114248226736402,0.6043332017033484,2120.864670223996,631,4438,3807,2.3536522996448106
Tapovan Vishnugad,31.412746571571088,33.208247978723016,82.06742858886719,13.60657017928183,0.7202644810673661,3665.0371934590044,931,7100,6169,2.791109896526446
Vishnugad Pipalkoti,62.06085419025319,30.164397918395967,82.43330383300781,13.23662777216566,0.6411888605813194,3257.3342987636815,540,7801,7261,2.7288684433706782
Shrinagar,49.14930036377718,27.399102528248648,79.50672149658203,10.073365023610954,0.592266722321659,1580.1291137603264,328,3859,3531,2.979738193050262
Naitwar Mori,23.722813466638858,29.608813595948554,80.06633758544922,11.075267976953885,0.6546735367710153,2418.1530922095476,897,4590,3693,2.2750833315717207
Lata Tapovan,32.654833007009834,33.48532049636105,82.06742858886719,14.056029141362501,0.7207917787371473,3971.212665089682,1023,7801,6778,2.689765914637331
Lakhwar,30.445334430207833,20.825882272506824,79.54830932617188,13.94126884049205,0.4376277870571793,1211.0970782432698,379,3019,2640,2.4097271047367212
Kishau,38.244397328426004,23.825861739428667,79.54830932617188,13.448263891926258,0.5169502269624648,1362.9308314424377,335,3351,3016,2.657843088729119
Phata Byung,18.9234939151512,30.080774639922424,78.50593566894531,11.338271345109773,0.658216161194279,2477.310814232658,767,4781,4014,2.534839377687495
Chibro,38.98627587405086,21.15710208928488,79.54830932617188,13.960254812519908,0.43595911567488255,1179.287563235918,311,3054,2743,2.4509405332057903
Khodri,75.77803340517346,18.066459540421153,80.06633758544922,14.501875087812754,0.3622736390049622,1152.7466509108522,238,4369,4131,2.600795016487073
chilla,85.74939283076915,13.286215743453873,79.50672149658203,13.712314024535202,0.24720148354036448,771.4708996875851,189,3158,2969,2.7138604544965967
vishnuprayag,47.50596902540855,31.63190940435815,82.06742858886719,14.109623403233043,0.6748961783511794,3917.936893639161,744,7801,7057,2.7299524221683185
maneri_bhali_I,38.65007497871808,28.96173539862724,84.60252380371094,10.988460513381636,0.6394122201525952,2464.9370243324565,612,6325,5713,2.5040220859288587
Luhri Stage 1,126.156626101008,22.59306197854313,87.77668762207031,14.867457467538566,0.45863781011812843,2247.003830698781,238,6570,6332,2.669660511371787
Maneri Bhali Ii,38.65007497871808,29.014928340580024,84.60252380371094,10.964175891953095,0.641480836885168,2453.966451697561,612,6325,5713,2.5008817511383663
Giri Bata,27.157393215988957,21.37423013839708,79.9115982055664,12.77174135411467,0.4149894649319294,1101.9587345221848,309,3512,3203,2.280362623660166
Shongtong Karcham,124.5760751544642,28.011220608574302,87.77668762207031,12.524527706139036,0.5966129007521698,3741.1141744208558,435,7064,6629,3.209733502561342
