project_name,cost_overrun_pct,dam_height,installed_cap,initial_cost,planned_dur,actual_dur,schedule_overrun_pct,catchment_area_sq_km,catchment_radius_km,elev_mean_m,elev_range_m,slope_mean_deg,slope_max_deg,slope_std_deg,steep_frac_25,aspect_circ_std,dist_road,forest_area_div,landowner_displaced,pop_density_district,st_pop_fraction,worker_ratio,tourism_pressure_score,dist_to_nearest_pilgrim_km,dist_to_nearest_resort_km,PRCPTOT_mean,PRCPTOT_max,R10mm_mean,RX1day_max,RX5day_max,RX7day_mean,RX7day_max,R95p_mean,R99p_mean,R30mm_mean,R30mm_total,R100mm_mean,R100mm_total,CDD_mean,CWD_mean,SDII_mean,glof_composite_score,glof_lake_count_50km,seismic_zone_score,glof_risk_score,project_scale_score,is_uttarakhand,contract_IR,contract_EPC,cost_per_mw
alain duhangan,96.18478891676163,14.5,192.0,1019.447028,4.0,7.0,75.0,363,10.74925526186424,3197.8164289870665,3535,28.940205653614104,77.13665771484375,12.278704514000385,0.6284719100110033,1.7983442767921385,0.1,32.17,0.0,437903.0,0.0384149001034475,0.6144831161238905,0.8,5.55,4.1,1379.5418510288,1879.0305794477465,42.25,134.04820251464844,234.21574020385745,192.73730632290244,262.73450756073,201.64541578292847,77.97125720977783,9.625,77,0.625,5,43.75,17.25,11.51228298190694,0.8311514137347338,38,1.0,1.0,1.0,0.0,0.0,1.0,5.3096199375
baira siul,175.32743968271694,53.0,180.0,53.75417727,4.0,11.5,187.5,2020,25.357168021907675,2589.992471732847,4561,31.823739131807987,81.01942443847656,11.121148220855575,0.7370866863016071,2.249270908075872,0.3,57.0,0.0,519080.0,0.261038760884642,0.5664541111196733,0.4598,103.83,33.66,1652.9536221126716,2282.38997888565,52.66666666666666,172.517333984375,409.10061264038086,254.990678605934,461.1933679580689,620.3266016642252,211.94245020548504,14.083333333333334,169,0.4166666666666667,5,36.833333333333336,21.75,13.05140556792535,0.2774773417334168,12,1.0,0.0,1.0,0.0,1.0,0.0,0.2986343181666667
nathpa jhakri,301.6424204993276,62.5,1500.0,2038.380306,5.0,11.0,120.0,49820,125.92933943158938,3459.7299829734416,6356,28.06422103555635,87.77668762207031,12.426279613165224,0.5995310200397176,2.904531658852032,0.2,117.995,480.0,84121.0,0.5794748041511633,0.6689530557173595,0.3962,76.43,92.29,1087.3548070391018,1356.800490617752,30.75,87.02849578857422,210.3171463012696,143.13950630525747,250.7712655067444,236.03907934824625,83.90239556630452,2.833333333333333,34,0.0,0,44.5,45.083333333333336,6.744812991998909,0.8461978934729467,67,0.0,2.0,2.0,0.0,1.0,0.0,1.358920204
parbati III,1.933238159022117,43.0,520.0,2659.583909,5.0,8.6,72.0,807,16.02735405955453,2197.1593157241664,3697,32.25683792343396,77.356689453125,12.668133577500328,0.7228094579238855,2.768157279548308,0.25,91.24,174.0,437903.0,0.0384149001034475,0.6144831161238905,0.7137,23.37,19.84,1139.8083110451698,1479.5429499149325,36.8,104.62220001220705,213.4671817421913,159.52683411240577,232.12292003631592,280.1241943359375,69.99009780883789,7.3,73,0.1,1,47.7,12.3,10.393158216550054,0.3562713273389593,27,0.5,0.0,2.0,0.0,1.0,0.0,5.114584440384616
chamera I,121.4386081806241,140.0,540.0,954.666405,6.0,10.0,66.66666666666666,472,12.257335203001883,1369.1161812806731,2255,27.68087071031146,80.55050659179688,11.219013249154406,0.6208794182106605,3.2661874733630705,100.0,110.0,433.0,519080.0,0.261038760884642,0.5664541111196733,0.5855,81.56,6.46,1327.2337838086214,2262.0167820453644,42.0,123.2285614013672,468.13219451904297,201.8706685121764,474.28093722462654,327.88876377452505,109.1063926003196,8.909090909090908,98,0.3636363636363636,4,40.0,19.454545454545453,10.854297592377437,0.30178114465408,15,1.0,0.0,2.0,0.0,0.0,0.0,1.7679007500000001
chamera II,41.81010913251976,43.0,300.0,1909.595879,4.5,4.08,-9.333333333333332,2596,28.745999104799274,2351.2595016708265,4965,32.15249617941686,80.55050659179688,11.557921024896062,0.7411371203836868,2.4924717849968667,0.0,78.8,157.0,519080.0,0.261038760884642,0.5664541111196733,0.5654,72.72,25.17,745.8013841152191,890.8238536119461,22.0,36.11878967285156,113.574613571167,111.80365419387816,135.13239002227783,0.0,0.0,2.2,11,0.0,0,63.2,17.0,6.885774307265711,0.3205957360817215,9,1.0,0.0,1.0,0.0,0.0,1.0,6.365319596666667
chamera III,38.66178556142243,64.0,231.0,1520.967,5.0,7.0,40.0,2203,26.480873838732943,3032.7688842531147,4842,34.645289691638055,88.0808334350586,11.64683839274116,0.800361725633559,2.6611972876265746,0.25,98.9814,384.0,519080.0,0.261038760884642,0.5664541111196733,0.5748,68.15,26.5,1799.5665039271116,2597.1222709417343,51.875,159.6650848388672,318.7422409057617,232.92236363259144,384.8564214706421,448.0800523757935,133.04278755187988,17.875,143,0.375,3,44.375,16.125,14.980122413805018,0.3424329224574525,10,1.0,0.0,1.0,0.0,0.0,1.0,6.584272727272728
bajoli holi,11.565205821075253,0.0,180.0,1891.270656,5.0,9.0,80.0,199,8.0,3287.155485822305,3910,36.18343175857759,88.0808334350586,12.15004019773074,0.8284975338873444,1.9209614787318847,7.0,75.23,300.0,519080.0,0.261038760884642,0.5664541111196733,0.5815,58.42,34.98,3139.6657111763952,3802.796851754189,68.9,325.1290283203125,637.5405120849609,537.0863945178687,850.2108076810837,974.9355392456056,477.407048034668,35.5,355,5.1,51,44.8,14.1,28.05531864334425,0.4824958630174634,16,1.0,1.0,1.0,0.0,0.0,0.0,10.507059199999999
rampur,103.26258251165872,0.0,412.0,2135.169172,6.0,7.0,16.666666666666664,49260,125.21958709967672,2859.504339914902,6497,26.126190223413307,87.77668762207031,13.599354050963656,0.5472629123892735,2.664723184095938,0.0,49.0,167.0,814010.0,0.0107553961253547,0.5293866168720286,0.4855,69.39,62.75,1122.0078720897436,1381.5318938493729,36.375,73.50563049316406,205.50587272644043,142.8373831808567,226.98208236694336,297.4286086559296,75.863600730896,4.0,32,0.0,0,40.375,40.75,7.670361849851225,0.349958313002755,30,0.0,0.0,1.0,0.0,0.0,0.0,5.182449446601941
malana I,-19.078401872462656,16.0,86.0,397.9160168,5.0,2.5,-50.0,84,8.0,2962.616591903161,3129,33.59732324999324,77.90512084960938,12.30530089065496,0.7556959269324387,2.275382305157268,24.0,61.0,0.0,437903.0,0.0384149001034475,0.6144831161238905,0.7577,8.54,18.47,1051.115285485983,1359.240879893303,32.25,75.50466918945312,164.92274236679077,138.07702691853046,179.9943389892578,238.9759111404419,63.396921157836914,4.75,19,0.0,0,47.0,20.0,7.924529569568737,0.553088448295646,35,1.0,1.0,1.0,0.0,1.0,0.0,4.626930427906977
malana II,17.428912002740958,45.0,100.0,739.6134267,3.75,8.0,113.33333333333331,60,8.0,3425.94622360559,3254,31.88185246339336,77.90512084960938,11.860448102730926,0.7157334107138419,1.9914703829828708,25.0,17.545,0.0,437903.0,0.0384149001034475,0.6144831161238905,0.7555,8.77,19.16,984.6346171564526,1321.5324397087095,29.55555555555556,105.78221893310548,155.21435546875,133.31170205771923,193.6295747756958,252.04796494377985,98.9802008734809,5.333333333333333,48,0.1111111111111111,1,48.22222222222222,11.555555555555555,8.963494912979446,0.6451185074947162,37,1.0,1.0,1.0,0.0,0.0,1.0,7.396134267
sainj,61.93743214240447,24.5,100.0,478.5798995,4.0,7.0,75.0,313,9.981532666656284,2136.9391040257965,2683,33.79362312547741,76.83077239990234,11.52107081077718,0.7779454910132539,2.58042987318416,0.0,47.99,0.0,437903.0,0.0384149001034475,0.6144831161238905,0.6901,26.73,25.89,993.5650726407766,1488.139642953873,33.625,84.02342224121094,187.01038390398023,131.15536638349295,228.5932016372681,217.8583388328552,49.380929470062256,5.625,45,0.0,0,55.75,12.5,9.72353244177202,0.5235242445171674,30,1.0,1.0,1.0,0.0,0.0,1.0,4.785798995
uhl III,57.29973989860159,0.0,100.0,740.624238,5.0,23.0,360.0,338,10.37249929043725,1389.34934532354,2185,22.973305056743868,74.89693450927734,11.039206572629086,0.4363004083266328,1.910127894552472,0.0,0.0,25.0,999777.0,0.0127898521370265,0.5727987341177082,0.6172,50.52,29.09,1510.1373882591724,1943.5853345394128,46.458333333333336,249.1043701171875,436.2862668037415,255.30795281690857,446.065637588501,420.0194330215454,165.48498471577963,13.541666666666666,325,0.5416666666666666,13,53.458333333333336,15.041666666666666,14.072859965136884,0.2440522102998394,6,1.0,0.0,1.0,0.0,1.0,0.0,7.40624238
tidong-1,137.22111832209475,8.0,150.0,885.2500211,4.0,20.0,400.0,313,9.981532666656284,3920.183682594847,4535,32.66105036774106,86.90313720703125,13.702468659789387,0.708865589009696,1.913250801575428,15.0,32.17,0.0,84121.0,0.5794748041511633,0.6689530557173595,0.3786,57.57,121.57,710.3369001490729,1157.0419952869415,19.476190476190474,140.5696563720703,281.71851444244385,112.47782344974225,298.8437104821205,124.19899331955682,46.47347150530134,2.523809523809524,53,0.0476190476190476,1,41.095238095238095,10.238095238095235,6.686145954574526,0.7632640281586205,96,0.0,1.0,1.0,0.0,0.0,0.0,5.901666807333333
pong,50.22232849150036,133.0,396.0,216.3460008,5.0,13.0,160.0,12561,63.23203681959482,625.9200297911241,4697,8.522298714375033,78.34149169921875,10.285430528990442,0.0853061744526092,2.429571877509342,0.0,0.0,20700.0,1510075.0,0.0559998675562472,0.4471102428687317,0.6458,24.31,47.41,984.9641236918312,1489.1989855766296,33.357142857142854,83.80697631835938,186.290418624878,160.45112333978926,216.86745619773865,216.9502277374268,51.36805479867117,4.5,63,0.0,0,56.71428571428572,26.428571428571427,9.011030742184488,0.1697176424537215,0,1.0,0.0,1.0,0.0,1.0,0.0,0.5463282848484848
dehar,243.49663685196955,76.2,990.0,130.7145258,7.0,16.0,128.57142857142858,12561,63.23203681959482,1173.06119329338,3542,19.32961710517661,79.73873138427734,13.074801362959729,0.3430075383423139,2.5552238787283823,0.0,0.0,25.0,999777.0,0.0127898521370265,0.5727987341177082,0.625,33.86,45.1,1103.7691476204816,1498.0127791166306,37.0,69.3961181640625,230.94284057617188,154.40631325104658,249.96130561828613,197.1964463626637,43.33316960054285,3.4705882352941178,59,0.0,0,55.0,38.47058823529412,8.147844214558418,0.1301876713310058,0,1.0,0.0,2.0,0.0,1.0,0.0,0.13203487454545454
sawra kuddu,189.89414915089023,10.45,111.0,717.8482236,5.0,13.0,160.0,852,16.46815177937675,2312.4496727679216,2699,27.43208400851716,77.95641326904297,10.024818584533346,0.5845386222599342,2.490336354811748,0.0,53.0,0.0,814010.0,0.0107553961253547,0.5293866168720286,0.5058,66.97,56.98,1039.456452650683,1424.6176933050156,34.214285714285715,96.89320373535156,294.6654357910156,151.91716402928745,319.0737065076828,278.101092338562,78.55127389090401,4.5,63,0.0,0,50.142857142857146,15.428571428571429,9.3445397842685,0.3148036035734082,20,0.0,0.0,1.0,0.0,1.0,0.0,6.467101113513514
kashang I,73.77740077968866,0.0,243.0,759.0169919,4.0,6.5,62.5,221,8.387281135541944,3482.814410381093,3357,30.859573418880508,79.2162094116211,11.320829123481047,0.6950836308309231,1.7542280262731995,5.0,63.5,204.0,84121.0,0.5794748041511633,0.6689530557173595,0.3642,66.6,117.16,802.9522065775735,1046.451140165329,23.0,185.0338287353516,318.63856875896454,145.9423234909773,324.4962219148874,222.5883889879499,39.63313620431082,4.571428571428571,32,0.1428571428571428,1,45.0,8.857142857142858,8.313086570601754,0.7154528947792356,82,1.0,1.0,1.0,0.0,0.0,0.0,3.12352671563786
kutehr,2.092072173141117,27.0,240.0,1817.966822,6.0,14.0,133.33333333333331,1470,21.631355313298616,3393.769140499493,4824,35.41019902752863,88.0808334350586,12.131398281958592,0.8103472556211517,3.1020316436314896,0.0,72.0,30.0,519080.0,0.261038760884642,0.5664541111196733,0.5586,66.59,35.17,1695.7068271211217,2352.989490866661,54.785714285714285,156.86602783203125,287.0962619781494,235.9488788551784,365.2434139251709,307.03723171779086,102.4440531049456,12.928571428571429,181,0.6428571428571429,9,45.642857142857146,17.5,13.431913859598811,0.4732711872037806,12,1.0,1.0,1.0,0.0,0.0,1.0,7.574861758333333
baspa,43.30611109886272,13.0,300.0,1124.8648,5.0,10.0,100.0,950,17.38949084575512,3848.591914814402,4760,32.19800416447814,86.90313720703125,12.765216107355254,0.7194052829713947,2.6592888961299685,0.0,49.0,0.0,84121.0,0.5794748041511633,0.6689530557173595,0.4273,52.59,106.8,931.9764893163334,1281.027957201004,27.90909090909091,77.1448974609375,190.34235954284668,139.45231601866809,231.39922046661377,198.04723046042704,54.28488436612216,2.8181818181818183,31,0.0,0,46.63636363636363,19.181818181818183,7.053288330047536,0.7223087339201084,85,1.0,1.0,1.0,0.0,0.0,1.0,3.7495493333333334
ghanvi,53.69908384684821,0.0,32.5,112.5576,3.0,7.0,133.33333333333331,82,8.0,2126.978649736026,2602,31.887652554737304,79.35100555419922,11.959936494321193,0.6947709721975482,2.135248697695844,5.0,12.48,0.0,814010.0,0.0107553961253547,0.5293866168720286,0.4677,67.35,72.64,1207.2874039411545,1694.9794273376465,36.875,165.23484802246094,248.75759887695312,195.22442973405123,271.475248336792,353.6529746055603,104.18086814880373,7.375,59,0.125,1,55.625,15.625,10.014143485396788,0.6018287259559985,42,1.0,1.0,0.0,0.0,1.0,0.0,3.463310769230769
larji,401.9530931293552,26.5,126.0,291.0630535,5.0,19.5,290.0,5498,41.83381113690792,2308.211990662027,4997,29.03217756985476,79.08073425292969,12.175400409355756,0.6311772398187694,2.610906728359431,0.0,6.6,0.0,437903.0,0.0384149001034475,0.6144831161238905,0.6586,35.97,28.5,1163.5282120049,1606.9884819984436,37.75,117.56949615478516,261.95049142837524,160.9802911326289,267.64409470558167,271.68100891113284,89.27695293426514,5.0,100,0.05,1,53.0,27.1,8.251911900970597,0.3085455155871258,18,1.0,0.0,1.0,0.0,1.0,0.0,2.3100242341269843
